cycle,time_s,position_mm,raw_value
3,0.2212,18.8111,7301
3,0.2261,19.0533,7255
3,0.231,19.2533,7210
3,0.2359,19.4889,7157
3,0.241,19.5867,7135
3,0.2459,19.6222,7127
3,0.2508,19.6844,7113
3,0.2558,19.7822,7091
3,0.2608,19.8222,7082
3,0.2657,19.8756,7070
3,0.2706,19.9111,7062
3,0.2755,19.8756,7070
3,0.2794,19.8133,7084
3,0.2836,19.6844,7113
3,0.2885,19.5822,7136
3,0.2935,19.4178,7173
3,0.2983,19.3067,7198
3,0.3032,19.1822,7226
3,0.3072,19.0889,7247
3,0.3114,18.95,7276
3,0.3163,18.7611,7310
3,0.3212,18.5667,7345
3,0.3261,18.4722,7362
3,0.33,18.3056,7392
3,0.3342,18.0944,7430
3,0.3392,17.9263,7461
3,0.3441,17.8105,7483
3,0.349,17.6158,7520
3,0.3539,17.4632,7549
3,0.3578,17.3211,7576
3,0.362,17.1579,7607
3,0.367,16.9934,7638
3,0.3719,16.8355,7662
3,0.377,16.6579,7689
3,0.3819,16.5,7713
3,0.3869,16.3092,7742
3,0.3918,16.1974,7759
3,0.3969,16.0263,7785
3,0.4018,15.8647,7812
3,0.4067,15.6294,7852
3,0.4115,15.5412,7867
3,0.4166,15.3529,7899
3,0.4215,15.2588,7915
3,0.4254,15.1,7942
3,0.4296,14.9639,7965
3,0.4346,14.7892,7994
3,0.4394,14.6687,8014
3,0.4432,14.5602,8032
3,0.4475,14.3855,8061
3,0.4523,14.2831,8078
3,0.4562,14.1386,8102
3,0.4604,14.0,8125
3,0.4653,13.8415,8151
3,0.4702,13.6951,8175
3,0.4751,13.5427,8200
3,0.48,13.4024,8223
3,0.4839,13.2439,8249
3,0.4881,13.1098,8271
3,0.493,12.9286,8301
3,0.4979,12.7679,8328
3,0.5029,12.625,8352
3,0.5078,12.4643,8379
3,0.5117,12.3452,8399
3,0.5159,12.0952,8441
3,0.5208,11.9018,8484
3,0.5257,11.7745,8519
3,0.5296,11.6945,8541
3,0.5335,11.5709,8575
3,0.5377,11.4182,8617
3,0.5426,11.2509,8663
3,0.5476,11.1236,8698
3,0.5525,11.0,8732
3,0.5564,10.904,8756
3,0.5606,10.696,8808
3,0.5655,10.56,8842
3,0.5705,10.384,8886
3,0.5755,10.232,8924
3,0.5806,10.036,8973
3,0.5853,9.8416,9014
3,0.5903,9.6782,9047
3,0.5942,9.5,9083
3,0.5984,9.2871,9126
